,Tipo,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU
2394,Apartamento,Barra da Tijuca,3,2,3,145,2900.0,1800.0,2364.4095850019803
2395,Quitinete,Copacabana,1,0,0,23,1400.0,300.0,2364.4095850019803
2396,Conjunto Comercial/Sala,Botafogo,0,0,0,20,1198.0,2388.0624242214294,2364.4095850019803
2397,Apartamento,Lagoa,4,3,2,388,12000.0,6046.0,1239.0
2398,Conjunto Comercial/Sala,Barra da Tijuca,0,0,0,605,45000.0,18559.0,51176.0
2399,Apartamento,Vila da Penha,2,0,0,60,1200.0,253.0,2364.4095850019803
2400,Loja/Salão,Barra da Tijuca,0,0,0,32,1000.0,1721.0,702.0
2401,Apartamento,Recreio dos Bandeirantes,3,1,1,84,2000.0,810.0,2364.4095850019803
2402,Apartamento,Cosme Velho,3,4,1,200,5000.0,1408.0,246.0
2403,Apartamento,Barra da Tijuca,4,3,3,266,15000.0,3700.0,692.0
2404,Casa de Condomínio,Barra da Tijuca,4,4,4,806,24000.0,2081.0,2300.0
2405,Conjunto Comercial/Sala,Barra da Tijuca,0,4,0,126,5500.0,2520.0,2364.4095850019803
2406,Apartamento,Cosme Velho,3,1,1,115,3950.0,2388.0624242214294,2364.4095850019803
2407,Flat,Barra da Tijuca,2,1,2,65,2200.0,2700.0,145.0
2408,Apartamento,Flamengo,2,0,0,75,2400.0,635.0,119.0
2409,Apartamento,Lagoa,3,1,0,153,6200.0,1900.0,2364.4095850019803
2410,Casa,Campo Grande,2,0,0,70,1100.0,2388.0624242214294,2364.4095850019803
2411,Apartamento,Flamengo,1,0,0,42,1600.0,550.0,56.0
2412,Apartamento,Laranjeiras,3,1,0,100,3100.0,901.0,184.0
2413,Apartamento,Copacabana,4,1,1,230,5000.0,1821.0,500.0
2414,Apartamento,Copacabana,1,0,0,45,1600.0,490.0,73.0
2415,Apartamento,Recreio dos Bandeirantes,2,1,1,69,1500.0,752.0,149.0
2416,Apartamento,Copacabana,1,0,0,35,1400.0,605.0,53.0
2417,Quitinete,Santa Teresa,1,0,0,20,700.0,303.0,14.0
2418,Apartamento,Gávea,3,2,1,130,6300.0,1600.0,330.0
2419,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,27,1100.0,875.0,193.0
2420,Quitinete,Centro,1,0,0,20,1090.0,300.0,15.0
2421,Loja/Salão,Barra da Tijuca,0,0,0,647,45290.0,16175.0,5823.0
2422,Apartamento,Barra da Tijuca,5,4,5,352,13000.0,3200.0,2364.4095850019803
2423,Casa de Condomínio,Jacarepaguá,4,0,4,400,12000.0,800.0,600.0
2424,Conjunto Comercial/Sala,Recreio dos Bandeirantes,0,1,0,30,2000.0,299.0,170.0
2425,Apartamento,Leme,1,0,0,65,3000.0,590.0,90.0
2426,Apartamento,Copacabana,1,0,0,20,3000.0,2388.0624242214294,2364.4095850019803
2427,Conjunto Comercial/Sala,Barra da Tijuca,0,1,0,31,1000.0,820.0,44.0
2428,Apartamento,Barra da Tijuca,1,1,1,71,2500.0,1756.0,192.0
2429,Conjunto Comercial/Sala,Centro,0,0,0,460,35000.0,7574.0,19213.0
2430,Apartamento,Recreio dos Bandeirantes,2,1,2,55,2000.0,1450.0,330.0
2431,Conjunto Comercial/Sala,Vicente de Carvalho,0,1,0,25,900.0,645.0,2.0
2432,Apartamento,Rio Comprido,2,1,1,48,1600.0,524.0,12.0
2433,Apartamento,Copacabana,2,0,0,74,2000.0,900.0,132.0
2434,Apartamento,Grajaú,1,0,1,73,2000.0,600.0,100.0
2435,Apartamento,Leblon,2,1,0,70,3800.0,700.0,100.0
2436,Apartamento,Leblon,2,1,0,96,4500.0,750.0,2364.4095850019803
2437,Loja Shopping/ Ct Comercial,Recreio dos Bandeirantes,0,1,0,70,2300.0,1080.0,220.0
2438,Apartamento,Ramos,2,0,0,75,1200.0,250.0,2364.4095850019803
2439,Apartamento,Cascadura,2,0,0,50,850.0,140.0,2364.4095850019803
2440,Apartamento,Gávea,3,0,1,120,2700.0,880.0,238.0
2441,Apartamento,Recreio dos Bandeirantes,3,2,2,200,3250.0,800.0,200.0
2442,Apartamento,Recreio dos Bandeirantes,2,1,1,82,1400.0,620.0,2364.4095850019803
2443,Apartamento,Copacabana,4,1,0,100,3200.0,1022.0,2364.4095850019803
2444,Apartamento,Botafogo,2,1,0,65,2950.0,600.0,102.0
2445,Conjunto Comercial/Sala,Centro,0,0,0,60,1800.0,1080.0,140.0
2446,Apartamento,Gávea,1,0,0,50,2700.0,510.0,86.0
2447,Conjunto Comercial/Sala,Jardim Sulacap,0,0,0,25,550.0,120.0,43.0
2448,Conjunto Comercial/Sala,Ipanema,0,0,0,34,2400.0,858.0,217.0
2449,Apartamento,Anil,2,1,0,56,1100.0,355.0,162.0
2450,Quitinete,Centro,0,0,0,25,650.0,435.0,2364.4095850019803
2451,Flat,Botafogo,2,1,1,90,2500.0,1760.0,186.0
